,trip,lon,lat,x,y,x_std,y_std,dist_colony,step_distance,step_direction
0,simulation_00,-77.27394104003906,-11.779834747314453,-1106.5602050098712,-760.7915630306932,-0.036885340166995705,-0.025359718767689773,1323.735235986123,,
1,simulation_00,-77.2821273803711,-11.776667594909668,-2017.8007191305178,-408.24848900987917,-0.06726002397101725,-0.013608282966995972,2017.086119118493,959.191055045228,
2,simulation_00,-77.28911590576172,-11.777543067932129,-2795.7096761990288,-505.69942004002286,-0.09319032253996763,-0.016856647334667428,2783.2031041753353,767.7431348689223,-28.856310132882868
3,simulation_00,-77.29531860351562,-11.779131889343262,-3486.146337876648,-682.5548133910244,-0.1162048779292216,-0.022751827113034147,3480.3587377181875,698.6541688746794,-7.370834216119874
4,simulation_00,-77.30224609375,-11.784327507019043,-4257.261330254604,-1260.8910576744915,-0.14190871100848682,-0.04202970192248305,4354.180468644733,950.9473540361133,-22.79403029879802
5,simulation_00,-77.30709075927734,-11.788872718811035,-4796.532277567382,-1766.8291157242354,-0.15988440925224606,-0.05889430385747452,5016.90735288905,731.1992055504732,-6.325609016533406
6,simulation_00,-77.31217956542969,-11.793391227722168,-5362.979083642378,-2269.7948142218615,-0.17876596945474593,-0.07565982714072872,5719.6257829770175,748.6242999912326,1.5727245727597392
7,simulation_00,-77.31919860839844,-11.796380996704102,-6144.285023056166,-2602.5929283607506,-0.20480950076853888,-0.08675309761202502,6553.702514687495,834.0789166254747,18.69434131520927
8,simulation_00,-77.32386016845703,-11.797494888305664,-6663.17407629728,-2726.582783963374,-0.2221058025432427,-0.09088609279877913,7069.657443726285,522.8437624392054,9.797861229254039
9,simulation_00,-77.33287048339844,-11.800853729248047,-7666.133113740414,-3100.4631533404613,-0.2555377704580138,-0.10334877177801538,8119.739432573286,1050.5487505350234,-7.130373422890102
10,simulation_00,-77.34291076660156,-11.80023193359375,-8783.74030533666,-3031.249638055435,-0.292791343511222,-0.10104165460184783,9117.197964652974,1096.1743544784244,24.468047759397706
11,simulation_00,-77.34788513183594,-11.806358337402344,-9337.448427616866,-3713.193843869861,-0.3112482809205622,-0.12377312812899538,9865.89847003405,871.0982932467832,-55.14238470314456
12,simulation_00,-77.35370635986328,-11.811891555786133,-9985.42280997852,-4329.10920534796,-0.332847426999284,-0.14430364017826533,10690.436439916344,884.1025550765967,7.363368911657204
13,simulation_00,-77.355712890625,-11.817361831665039,-10208.774399180504,-4938.018290738923,-0.34029247997268347,-0.16460060969129742,11146.672241319831,646.9659523997898,-26.090347452951733
14,simulation_00,-77.36238098144531,-11.819165229797363,-10951.015041623603,-5138.758716205155,-0.36503383472078677,-0.1712919572068385,11887.798657844112,753.7298993528844,54.803627222953054
15,simulation_00,-77.36793518066406,-11.825370788574219,-11569.265828464078,-5829.513844977644,-0.3856421942821359,-0.19431712816592148,12737.13298769556,918.3314490828424,-33.3339299716572
16,simulation_00,-77.37250518798828,-11.827120780944824,-12077.963934669358,-6024.309551339642,-0.40259879782231195,-0.20081031837798807,13269.101603778376,534.6494726062726,27.41295948258451
17,simulation_00,-77.37358856201172,-11.83418083190918,-12198.556807926707,-6810.180185779896,-0.40661856026422355,-0.2270060061926632,13746.155038974452,794.6848578695553,-60.09099187605955
18,simulation_00,-77.3774642944336,-11.837387084960938,-12629.973565776929,-7167.075643430597,-0.42099911885923097,-0.23890252144768656,14290.089019630916,552.8696782704067,41.25258071959456
19,simulation_00,-77.38066101074219,-11.842656135559082,-12985.80746644473,-7753.585876482388,-0.432860248881491,-0.2584528625494129,14889.194455759005,682.115511623305,-19.09293106335656
20,simulation_00,-77.38595581054688,-11.846963882446289,-13575.183903350347,-8233.091165657941,-0.45250613011167823,-0.274436372188598,15631.69683453697,750.1030843570393,19.56230800679606
21,simulation_00,-77.3873519897461,-11.850363731384277,-13730.595845646787,-8611.536230061496,-0.45768652818822625,-0.28705120766871656,15962.091092285145,407.8667302914149,-28.36783650092923
22,simulation_00,-77.3891372680664,-11.851715087890625,-13929.31931284551,-8761.958854538309,-0.464310643761517,-0.29206529515127694,16207.00964351607,245.87071692375923,30.38485055593688
23,simulation_00,-77.39289855957031,-11.855875015258789,-14347.997386900943,-9225.010010478925,-0.47826657956336477,-0.30750033368263086,16802.85755361464,618.3132110674535,-10.77543003689425
24,simulation_00,-77.40042114257812,-11.857879638671875,-15185.353535011807,-9448.14928828433,-0.5061784511670603,-0.31493830960947766,17612.335942385016,849.3264305071848,33.262476095400274
25,simulation_00,-77.40217590332031,-11.861034393310547,-15380.680019865255,-9799.312338227375,-0.5126893339955085,-0.32664374460757917,17963.039781976724,399.82065034762445,-46.20573264331733
26,simulation_00,-77.40418243408203,-11.862724304199219,-15604.031609067239,-9987.420235597108,-0.5201343869689079,-0.33291400785323694,18248.880827795423,288.37948789700494,20.723412363217903
27,simulation_00,-77.40502166748047,-11.867321968078613,-15697.448623562366,-10499.196857052799,-0.5232482874520789,-0.3499732285684266,18609.236865228962,519.8779985074266,-39.15698610082825
28,simulation_00,-77.40758514404297,-11.874152183532715,-15982.795140565662,-11259.483968205182,-0.5327598380188554,-0.3753161322735061,19274.36021194132,809.9467786371323,10.039296103856543
29,simulation_00,-77.41043090820312,-11.88088321685791,-16299.563744262774,-12008.730886735415,-0.5433187914754258,-0.4002910295578472,19968.10052487661,810.8406715059416,2.3086920473118653
30,simulation_00,-77.41454315185547,-11.883999824523926,-16757.307115288895,-12355.647708746863,-0.5585769038429632,-0.41185492362489545,20534.61240866094,566.565937400001,29.766401291257495
31,simulation_00,-77.41747283935547,-11.88592529296875,-17083.417420435522,-12569.976063594206,-0.5694472473478508,-0.41899920211980685,20918.477610923866,384.41370928720846,3.870941311459177
32,simulation_00,-77.42452239990234,-11.890371322631836,-17868.120342194587,-13064.8739290218,-0.5956040114064862,-0.43549579763406,21829.75780346133,913.5380598004019,1.0838378557361636
33,simulation_00,-77.43213653564453,-11.891514778137207,-18715.667437341282,-13192.15461127141,-0.6238555812447094,-0.43973848704238033,22573.92035109115,839.0700133311553,24.076915267950938
34,simulation_00,-77.44298553466797,-11.895872116088867,-19923.294661087377,-13677.17999675804,-0.6641098220362459,-0.45590599989193464,23818.22225133811,1277.3676206470718,-13.590840284726596
35,simulation_00,-77.44883728027344,-11.904635429382324,-20574.666025794308,-14652.644708344083,-0.6858222008598103,-0.48842149027813614,24903.79753363272,1165.2358752854634,-34.523207935309756
36,simulation_00,-77.4515380859375,-11.909351348876953,-20875.29896335135,-15177.584636387723,-0.6958432987783784,-0.5059194878795907,25451.674078065804,601.7430170902595,-3.8951360074410672
37,simulation_00,-77.45176696777344,-11.91663932800293,-20900.77633094093,-15988.826482719269,-0.6966925443646977,-0.5329608827573089,25963.042045693226,811.6247719085055,-27.50494159609633
38,simulation_00,-77.4566421508789,-11.921052932739258,-21443.444260598986,-16480.115054405003,-0.7147814753532995,-0.5493371684801668,26683.978748561833,723.3893312545845,45.4623155580708
39,simulation_00,-77.4567642211914,-11.926063537597656,-21457.032189980095,-17037.857093220227,-0.7152344063326698,-0.5679285697740076,27042.17730110391,557.9004682261987,-45.85690538144479
40,simulation_00,-77.46260833740234,-11.92531967163086,-22107.554309100706,-16955.055648554095,-0.7369184769700236,-0.5651685216184699,27488.37425723485,641.8448501500757,96.04604351082565
41,simulation_00,-77.46542358398438,-11.923440933227539,-22420.92593045254,-16745.928922922954,-0.7473641976817513,-0.5581976307640985,27603.113534468182,371.13787967240916,26.884615381138246
42,simulation_00,-77.47050476074219,-11.924898147583008,-22986.523490941217,-16908.134829909948,-0.7662174496980406,-0.5636044943303316,28142.276236920257,576.6754902068413,-50.6331294332432
43,simulation_00,-77.47299194335938,-11.929309844970703,-23263.37755208132,-17399.211090199104,-0.7754459184027107,-0.5799737030066368,28654.69333258861,560.8300311609624,-44.78217782195378
44,simulation_00,-77.47673034667969,-11.933602333068848,-23679.507889377797,-17877.017888202023,-0.7893169296459266,-0.5959005962734008,29268.56084532123,627.7438965724111,11.55316941933475
45,simulation_00,-77.48037719726562,-11.936841011047363,-24085.44727963844,-18237.52263959458,-0.8028482426546146,-0.6079174213198193,29803.239469566677,536.3793121881921,7.3356682569437055
46,simulation_00,-77.48871612548828,-11.937267303466797,-25013.67270548547,-18284.97423673017,-0.8337890901828491,-0.609499141224339,30555.14350021357,909.3917890394374,39.238451569415844
47,simulation_00,-77.49363708496094,-11.943206787109375,-25561.436108661444,-18946.111925679776,-0.8520478702887149,-0.6315370641893259,31380.758081055454,851.0609083044119,-47.980726399502714
